id	gcf	scf	bs	edge_len	gn	sn
961	3.65	43.02	1	0.005095283	1122	6181.35
962	12.26	35.65	1	0.004175299	1101	6035.47
963	1.78	33.83	0.999	0.00362273	1124	6092.8
964	20.7	51.42	1	0.004617225	1111	6287.03
965	1.95	34.89	1	0.003227772	1076	4187.86
966	5.5	42.44	1	0.004917522	218	1192.43
967	44.09	66.21	1	0.004000481	220	1146.34
968	0.34	46.82	1	0.001956161	1164	6380.31
969	4.79	43.78	1	0.005297599	1128	6096.47
970	34.23	61.97	1	0.004073521	1116	5774.09
971	0	32.73	0.998	0.001939631	1154	5981.14
972	0	35.9	0.997	0.005742542	1153	5768.29
973	0	35.27	0.985	0.005304714	1147	5757.12
974	1.88	34.4	1	0.004965321	1120	5765.33
975	0.09	33.37	0.995	0.004279395	1118	5783.91
976	2.36	33.42	0.771	0.004630403	1104	5697.29
977	0.09	33.68	1	0.00417754	1139	5861.98
978	3.42	34.81	1	0.004972873	1110	5986.23
979	1.8	33.21	0.931	0.004261765	1111	5752.83
980	0	37.31	1	0.004287479	1156	5813.28
981	0.18	36.4	1	0.005089393	1142	5762.07
982	2.94	35.91	1	0.004521949	1122	5617.55
983	2.81	34.03	1	0.003953481	1105	5689.02
984	0	32.64	1	0.003706181	1153	5619.22
985	0.7	35.8	1	0.005148149	1146	5310.76
986	35.29	68.58	1	0.004525963	1037	5222.86
987	10.46	46.9	1	0.001909315	994	4745.94
988	0.44	33.89	1	0.003215684	1132	5532.79
989	11.55	48.26	1	0.004734466	1117	6263.24
990	0	37.43	1	0.003438174	1165	6107.88
991	0.26	36.85	1	0.00664872	1152	6186.26
992	19.82	51.35	1	0.006081611	1130	6654.9
993	0.79	38.14	1	0.004077791	1145	6154.49
994	23.87	51.93	1	0.005651793	1127	6382.78
995	4.23	34.07	0.995	0.00375263	1111	6033.71
996	0	37.06	1	0.004816421	1161	5898.64
997	0.43	36.57	0.869	0.00611502	1151	5751.98
998	0.44	41.59	1	0.005696273	1146	5968.93
999	2.02	39.61	1	0.005473116	1141	5893.73
1000	8.63	39.04	1	0.004824236	1124	5539.26
1001	5.88	31.32	0.99	0.003909027	1105	5640.19
1002	4.86	33.98	1	0.004443279	1112	6077.96
1003	19.38	50.84	1	0.004502704	1120	6292.51
1004	0.35	32.15	1	0.003838067	1151	5527.16
1005	7.36	41	1	0.005667812	1100	5551.85
1006	13.06	44.6	1	0.004648237	965	5084.18
1007	0.08	44.31	1	0.004165065	1182	7611.22
1008	17.36	54.84	1	0.008536047	1123	8257.84
1009	42.36	66.8	1	0.00546551	1112	7786.54
1010	42.67	62.58	1	0.003169489	1010	4685.99
1011	0	34.46	1	0.001227911	1183	7529.65
