tip_label	genus	subgenus	section
E_gypsophila_1	Eucalyptus	Symphyomyrtus	Dumaria
E_gypsophila_2	Eucalyptus	Symphyomyrtus	Dumaria
E_gypsophila_3	Eucalyptus	Symphyomyrtus	Dumaria
E_halophila	Eucalyptus	Symphyomyrtus	Bisectae
E_hebetifolia	Eucalyptus	Symphyomyrtus	'Glandulosae' ms
E_histophylla_1	Eucalyptus	Symphyomyrtus	'Glandulosae' ms
E_histophylla_2	Eucalyptus	Symphyomyrtus	'Glandulosae' ms
E_horistes_Southern_smooth_1	Eucalyptus	Symphyomyrtus	Bisectae
E_horistes_Southern_smooth_2	Eucalyptus	Symphyomyrtus	Bisectae
E_horistes_horistes_1	Eucalyptus	Symphyomyrtus	Bisectae
E_horistes_horistes_2	Eucalyptus	Symphyomyrtus	Bisectae
E_horistes_horistes_3	Eucalyptus	Symphyomyrtus	Bisectae
E_hypolaena	Eucalyptus	Symphyomyrtus	Bisectae
E_incerata	Eucalyptus	Symphyomyrtus	'Glandulosae' ms
E_incrassata_1	Eucalyptus	Symphyomyrtus	Dumaria
E_incrassata_2	Eucalyptus	Symphyomyrtus	Dumaria
E_incrassata_3	Eucalyptus	Symphyomyrtus	Dumaria
E_incrassata_4	Eucalyptus	Symphyomyrtus	Dumaria
E_indurata_1	Eucalyptus	Symphyomyrtus	Bisectae
E_indurata_2	Eucalyptus	Symphyomyrtus	Bisectae
E_infera	Eucalyptus	Symphyomyrtus	Exsertaria
E_insulana	Eucalyptus	Symphyomyrtus	Exsertaria
E_insularis_continentalis	Eucalyptus	Eucalyptus	'Frutices' ms
E_intertexta_1	Eucalyptus	Symphyomyrtus	Adnataria
E_intertexta_2	Eucalyptus	Symphyomyrtus	Adnataria
E_jacksonii_1	Eucalyptus	Eucalyptus	Longistylus
E_jacksonii_2	Eucalyptus	Eucalyptus	Longistylus
E_jensenii	Eucalyptus	Symphyomyrtus	Adnataria
E_jucunda	Eucalyptus	Eudesmia	Limbatae
E_jutsonii_jutsonii	Eucalyptus	Symphyomyrtus	Bisectae
E_kessellii_eugnosta_1	Eucalyptus	Symphyomyrtus	Bisectae
E_kessellii_eugnosta_2	Eucalyptus	Symphyomyrtus	Bisectae
E_kingsmillii_1	Eucalyptus	Symphyomyrtus	Bisectae
E_kingsmillii_2	Eucalyptus	Symphyomyrtus	Bisectae
E_kitsoniana_x_E_ovata_subp_grandiflora	Eucalyptus-H	Symphyomyrtus-H	Maidenaria-H
E_kochii_amaryssia	Eucalyptus	Symphyomyrtus	Bisectae
E_kochii_borealis	Eucalyptus	Symphyomyrtus	Bisectae
E_kochii_kochii	Eucalyptus	Symphyomyrtus	Bisectae
E_kondininensis	Eucalyptus	Symphyomyrtus	Dumaria
E_kruseana_1	Eucalyptus	Symphyomyrtus	'Glandulosae' ms
E_kruseana_2	Eucalyptus	Symphyomyrtus	'Glandulosae' ms
E_kumarlensis_1	Eucalyptus	Symphyomyrtus	Bisectae
E_kumarlensis_2	Eucalyptus	Symphyomyrtus	Bisectae
E_laevis	Eucalyptus	Symphyomyrtus	Dumaria
E_lansdowneana	Eucalyptus	Symphyomyrtus	Adnataria
E_largiflorens_1	Eucalyptus	Symphyomyrtus	Adnataria
E_largiflorens_2	Eucalyptus	Symphyomyrtus	Adnataria
E_largiflorens_3	Eucalyptus	Symphyomyrtus	Adnataria
E_latens_1	Eucalyptus	Symphyomyrtus	Bisectae
E_latens_2	Eucalyptus	Symphyomyrtus	Bisectae
E_latens_3	Eucalyptus	Symphyomyrtus	Bisectae
E_lehmannii_lehmannii	Eucalyptus	Symphyomyrtus	'Glandulosae' ms
E_lehmannii_parallela	Eucalyptus	Symphyomyrtus	'Glandulosae' ms
E_leptocalyx_leptocalyx	Eucalyptus	Symphyomyrtus	Dumaria
E_leptophleba	Eucalyptus	Symphyomyrtus	Adnataria
E_leptophylla_1	Eucalyptus	Symphyomyrtus	Bisectae
E_leptophylla_2	Eucalyptus	Symphyomyrtus	Bisectae
E_leptophylla_3	Eucalyptus	Symphyomyrtus	Bisectae
E_leptopoda_arctata_1	Eucalyptus	Symphyomyrtus	Bisectae
E_leptopoda_arctata_2	Eucalyptus	Symphyomyrtus	Bisectae
E_leptopoda_arctata_3	Eucalyptus	Symphyomyrtus	Bisectae
E_leptopoda_elevata	Eucalyptus	Symphyomyrtus	Bisectae
E_leptopoda_leptopoda	Eucalyptus	Symphyomyrtus	Bisectae
E_leptopoda_subluta	Eucalyptus	Symphyomyrtus	Bisectae
E_leptopoda_x_E_oldfieldii_intergrade	Eucalyptus-H	Symphyomyrtus-H	Bisectae-H
E_lesouefii	Eucalyptus	Symphyomyrtus	Dumaria
E_leucophloia_1	Eucalyptus	Symphyomyrtus	Platysperma
E_leucophloia_2	Eucalyptus	Symphyomyrtus	Platysperma
E_leucophloia_euroa	Eucalyptus	Symphyomyrtus	Platysperma
E_leucophloia_leucophloia	Eucalyptus	Symphyomyrtus	Platysperma
E_leucophylla_1	Eucalyptus	Symphyomyrtus	Adnataria
E_leucophylla_2	Eucalyptus	Symphyomyrtus	Adnataria
E_leucophylla_3	Eucalyptus	Symphyomyrtus	Adnataria
