tip_label	genus	subgenus	section
E_sp_Kalbarri_1	Eucalyptus	Symphyomyrtus	Bisectae
E_sp_Kalbarri_2	Eucalyptus	Symphyomyrtus	Bisectae
E_sp_Kitchener_1	Eucalyptus	?	?
E_sp_Kitchener_2	Eucalyptus	?	?
E_sp_Lake_Magenta_1	Eucalyptus	Symphyomyrtus	Dumaria
E_sp_Lake_Magenta_2	Eucalyptus	Symphyomyrtus	Dumaria
E_sp_Mulga_Rock_1	Eucalyptus	Symphyomyrtus	Bisectae
E_sp_Mulga_Rock_2	Eucalyptus	Symphyomyrtus	Bisectae
E_sp_Mulga_Rock_3	Eucalyptus	?	?
E_sp_Mulga_Rock_4	Eucalyptus	?	?
E_sp_Queen_Victoria_Spring_1	Eucalyptus	Symphyomyrtus	Dumaria
E_sp_Queen_Victoria_Spring_2	Eucalyptus	Symphyomyrtus	Dumaria
E_sp_South_Newdegate_Lakes	Eucalyptus	?	?
E_sp_Southern_wheatbelt_1	Eucalyptus	Symphyomyrtus	Dumaria
E_sp_Southern_wheatbelt_2	Eucalyptus	Symphyomyrtus	Dumaria
E_sp_Sullivan_Soak_1	Eucalyptus	Symphyomyrtus	Bisectae
E_sp_Sullivan_Soak_2	Eucalyptus	Symphyomyrtus	Bisectae
