sequencing_id	project_id	folder_name	sample_id	species_name	genus	subgenus	section	series	subseries	species	subspecies	tip_label
1456668	1455196	Eucexisequencing_9_FD	CCA5974	Eucalyptus exilipes	Eucalyptus	Symphyomyrtus	Adnataria	Siderophloiae		exilipes		E_exilipes_1
1456669	1455198	Eucexisequencing_8_FD	CCA5975	Eucalyptus exilipes	Eucalyptus	Symphyomyrtus	Adnataria	Siderophloiae		exilipes		E_exilipes_2
1456545	1454950	Eucexisequencing_11_FD	CCA5669	Eucalyptus exilis	Eucalyptus	Eucalyptus	'Frutices' ms	Muricatae		exilis		E_exilis_1
1456544	1454948	Eucexisequencing_10_FD	CCA5672	Eucalyptus exilis	Eucalyptus	Eucalyptus	'Frutices' ms	Muricatae		exilis		E_exilis_2
1456503	1454866	Eucexpsequencing_2_FD	CCA5603	Eucalyptus expressa	Eucalyptus	Eucalyptus	Eucalyptus	Pachyphloiae		expressa		E_expressa
1457212	1456284	Eucexssequencing_FD	CCA1640	Eucalyptus exserta	Eucalyptus	Symphyomyrtus	Exsertaria	Exsertae	Exsertae	exserta		E_exserta
1457062	1455984	Eucfalsequencing_2_FD	CCA1206	Eucalyptus falcata	Eucalyptus	Symphyomyrtus	Bisectae	Falcatae	Rugatae	falcata		E_falcata
1457290	1456440	Eucfassequencing_FD	CCA2963	Eucalyptus fasciculosa	Eucalyptus	Symphyomyrtus	Adnataria	Heterophloiae		fasciculosa		E_fasciculosa
1457107	1456074	EucNAsequencing_32_FD	CCA1372	Eucalyptus fergusonii subsp. dorsiventralis								E_fergusonii_dorsiventralis
1456772	1455404	Eucflasequencing_2_FD	CCA0052	Eucalyptus flavida	Eucalyptus	Symphyomyrtus	'Glandulosae' ms	Levispermae	Levispermae	flavida		E_flavida
1456938	1455736	Eucflisequencing_4_FD	CCA0477	Eucalyptus flindersii	Eucalyptus	Symphyomyrtus	Exsertaria	Exsertae	Erythroxyla	flindersii		E_flindersii_1
1456939	1455738	Eucflisequencing_3_FD	CCA0478	Eucalyptus flindersii	Eucalyptus	Symphyomyrtus	Exsertaria	Exsertae	Erythroxyla	flindersii		E_flindersii_2
1456907	1455674	Eucflosequencing_5_FD	CCA0424	Eucalyptus flocktoniae subsp. flocktoniae	Eucalyptus	Symphyomyrtus	Bisectae	Subulatae	Decurrentes	flocktoniae	flocktoniae	E_flocktoniae_flocktoniae_1
1457288	1456436	Eucflosequencing_3_FD	CCA2959	Eucalyptus flocktoniae subsp. flocktoniae	Eucalyptus	Symphyomyrtus	Bisectae	Subulatae	Decurrentes	flocktoniae	flocktoniae	E_flocktoniae_flocktoniae_2
1457304	1456468	Eucflosequencing_2_FD	CCA2997	Eucalyptus flocktoniae subsp. flocktoniae	Eucalyptus	Symphyomyrtus	Bisectae	Subulatae	Decurrentes	flocktoniae	flocktoniae	E_flocktoniae_flocktoniae_3
