FieldID,RowTree,CurrentName,Voucher,Provenance,RowNum,YearPlanted,TreeNum,DNNumber,FieldComments,Date,FieldDetermination,Location,Description,Latitude,Longitude,Genus,Subgenus,Section,Series,Subseries,Species,Subspecies
CCA5306,R291/T13,Eucalyptus youngiana,DN 5938,"Nalara Rock, SA",291,2013,13,5938,NA,2011-03-30,Eucalyptus youngiana,"Nalara Rock on track between Lake Everard Station and Googs Lake, South Australia.","Mallee to 11 metres tall. Bark rough on larger stems, thick, loosely coarsely fibrous, dark grey; smooth and ribbony above. None in flower. A hundred or so mallees, mainly on south side of granite outcrop in red sand, where water runs off. Also a few mallees at Lois Rocks about 10 km to the north-west. PERTH + seed",-31.6044444444444,134.446388888889,Eucalyptus,Symphyomyrtus,Bisectae,Curviptera,Xylocarpae,youngiana,
CCA5307,R291/T14,Eucalyptus uncinata,DN 5922,"Culver Beach, WA",291,2013,14,5922,NA,2011-03-28,Eucalyptus cretata,"Main road S of Darke Peak, Eyre Peninsula, South Australia.","Dominant here, in mallee vegetation. Photo reference only",-33.4863888888889,136.198055555556,Eucalyptus,Symphyomyrtus,Bisectae,Porantherae,,uncinata,
CCA5308,R291/T15,Eucalyptus uncinata,DN 5922,"Culver Beach, WA",291,2013,15,5922,NA,2011-03-28,Eucalyptus cretata,"Main road S of Darke Peak, Eyre Peninsula, South Australia.","Dominant here, in mallee vegetation. Photo reference only",-33.4863888888889,136.198055555556,Eucalyptus,Symphyomyrtus,Bisectae,Porantherae,,uncinata,
CCA5309,R291/T16,Eucalyptus uncinata,DN 5922,"Culver Beach, WA",291,2013,16,5922,NA,2011-03-28,Eucalyptus cretata,"Main road S of Darke Peak, Eyre Peninsula, South Australia.","Dominant here, in mallee vegetation. Photo reference only",-33.4863888888889,136.198055555556,Eucalyptus,Symphyomyrtus,Bisectae,Porantherae,,uncinata,
CCA5310,R291/T17,Eucalyptus uncinata,DN 5922,"Culver Beach, WA",291,2013,17,5922,NA,2011-03-28,Eucalyptus cretata,"Main road S of Darke Peak, Eyre Peninsula, South Australia.","Dominant here, in mallee vegetation. Photo reference only",-33.4863888888889,136.198055555556,Eucalyptus,Symphyomyrtus,Bisectae,Porantherae,,uncinata,
CCA5311,R292/T01,Eucalyptus prolixa,DN 6693,"Ghooli, WA",292,2015,1,6693,NA,2013-11-24,Eucalyptus prolixa,"Ghooli South Road, near Lenneburg Mine, south of Marvel Loch, Western Australia.","Mallet to 11 metres tall. Bark smooth throughout, cream and yellowish grey. Leaves moderately glossy, green. Branchlets variably pruinose. Growing on red clay with Eucalyptus longicornis, E. polita and E. salubris. PERTH Seeds",-31.3791666666667,119.458611111111,Eucalyptus,Symphyomyrtus,Bisectae,Heterostemones,,prolixa,
CCA5312,R292/T02,Eucalyptus prolixa,DN 6693,"Ghooli, WA",292,2015,2,6693,NA,2013-11-24,Eucalyptus prolixa,"Ghooli South Road, near Lenneburg Mine, south of Marvel Loch, Western Australia.","Mallet to 11 metres tall. Bark smooth throughout, cream and yellowish grey. Leaves moderately glossy, green. Branchlets variably pruinose. Growing on red clay with Eucalyptus longicornis, E. polita and E. salubris. PERTH Seeds",-31.3791666666667,119.458611111111,Eucalyptus,Symphyomyrtus,Bisectae,Heterostemones,,prolixa,
CCA5313,R292/T03,Eucalyptus prolixa,DN 6693,"Ghooli, WA",292,2015,3,6693,NA,2013-11-24,Eucalyptus prolixa,"Ghooli South Road, near Lenneburg Mine, south of Marvel Loch, Western Australia.","Mallet to 11 metres tall. Bark smooth throughout, cream and yellowish grey. Leaves moderately glossy, green. Branchlets variably pruinose. Growing on red clay with Eucalyptus longicornis, E. polita and E. salubris. PERTH Seeds",-31.3791666666667,119.458611111111,Eucalyptus,Symphyomyrtus,Bisectae,Heterostemones,,prolixa,
CCA5314,R292/T04,Eucalyptus prolixa,DN 6693,"Ghooli, WA",292,2015,4,6693,NA,2013-11-24,Eucalyptus prolixa,"Ghooli South Road, near Lenneburg Mine, south of Marvel Loch, Western Australia.","Mallet to 11 metres tall. Bark smooth throughout, cream and yellowish grey. Leaves moderately glossy, green. Branchlets variably pruinose. Growing on red clay with Eucalyptus longicornis, E. polita and E. salubris. PERTH Seeds",-31.3791666666667,119.458611111111,Eucalyptus,Symphyomyrtus,Bisectae,Heterostemones,,prolixa,
CCA5315,R292/T05,Eucalyptus luehmanniana,DN 6793,"Royal Nat. Park, NSW",292,2015,5,6793,NA,2014-05-16,Eucalyptus luehmanniana,"Sir Bertam Stevens Drv, Royal National Park, New South Wales.","Whipstick mallee to 4 metres tall. Bark smooth throughout. Buds and branchlets strongly angular, pruinose. Leaves quite glossy, green. Scattered on slightly undulating sandstone in dense mallee shrubland with Angophora hispida, Corymbia gummifera, Eucalyptus obstans and depauperate E. sieberi. AD Seeds + photos",-34.1266666666667,151.079722222222,Eucalyptus,Eucalyptus,Eucalyptus,Fraxinales,,luehmanniana,
