file	format	type	num_seqs	sum_len	min_len	avg_len	max_len	Q1	Q2	Q3	sum_gap	N50	N50_num	Q20(%)	Q30(%)	AvgQual	GC(%)	sum_n
E_fasciculosa_R1	FASTQ	DNA	178064181	26400927067	49	148.3	150	150	150	150	0	150	1	97	92	25.5	41.9	145752
E_fasciculosa_R2	FASTQ	DNA	178064181	26400927067	49	148.3	150	150	150	150	0	150	1	94	87	23.03	42.08	26120
E_fergusonii_dorsiventralis_R1	FASTQ	DNA	53729958	7867743661	49	146.4	150	150	150	150	0	150	1	97	92	25.36	42.34	140384
E_fergusonii_dorsiventralis_R2	FASTQ	DNA	53729958	7867743661	49	146.4	150	150	150	150	0	150	1	97	92	25.35	42.41	19512
E_flavida_R1	FASTQ	DNA	69845435	10380953210	49	148.6	150	150	150	150	0	150	1	97	94	26.31	42.04	52373
E_flavida_R2	FASTQ	DNA	69845435	10380953210	49	148.6	150	150	150	150	0	150	1	96	90	24.37	42.17	17936
E_flindersii_1_R1	FASTQ	DNA	67677726	10092103787	49	149.1	150	150	150	150	0	150	1	98	94	26.82	43	72080
E_flindersii_1_R2	FASTQ	DNA	67677726	10092103787	49	149.1	150	150	150	150	0	150	1	96	92	25.01	43.13	64535
E_flindersii_2_R1	FASTQ	DNA	77908466	11628227011	49	149.3	150	150	150	150	0	150	1	98	94	26.99	41.53	83047
E_flindersii_2_R2	FASTQ	DNA	77908466	11628227011	49	149.3	150	150	150	150	0	150	1	97	92	25.13	41.68	73978
E_flocktoniae_flocktoniae_1_R1	FASTQ	DNA	79082062	11780041622	49	149	150	150	150	150	0	150	1	98	94	26.55	43.22	91612
E_flocktoniae_flocktoniae_1_R2	FASTQ	DNA	79082062	11780041622	49	149	150	150	150	150	0	150	1	97	93	25.94	43.19	76286
E_flocktoniae_flocktoniae_2_R1	FASTQ	DNA	143673704	21460636408	49	149.4	150	150	150	150	0	150	1	98	94	26.77	39.45	260347
E_flocktoniae_flocktoniae_2_R2	FASTQ	DNA	143673704	21460636408	49	149.4	150	150	150	150	0	150	1	96	91	24.96	39.49	53625
E_flocktoniae_flocktoniae_3_R1	FASTQ	DNA	95473270	14242650699	49	149.2	150	150	150	150	0	150	1	97	93	26.31	40.77	61836
E_flocktoniae_flocktoniae_3_R2	FASTQ	DNA	95473270	14242650699	49	149.2	150	150	150	150	0	150	1	95	89	23.93	40.94	18814
E_flocktoniae_flocktoniae_x_E_occidentalis_R1	FASTQ	DNA	149142400	22109171467	49	148.2	150	150	150	150	0	150	1	96	90	24.52	42.36	138031
E_flocktoniae_flocktoniae_x_E_occidentalis_R2	FASTQ	DNA	149142400	22109171467	49	148.2	150	150	150	150	0	150	1	94	88	23.08	42.56	54002
E_flocktoniae_hebes_R1	FASTQ	DNA	135525773	20107273421	49	148.4	150	150	150	150	0	150	1	97	93	25.63	42.76	162593
E_flocktoniae_hebes_R2	FASTQ	DNA	135525773	20107273421	49	148.4	150	150	150	150	0	150	1	96	90	24.26	42.78	137137
E_foliosa_R1	FASTQ	DNA	67639693	10113249159	49	149.5	150	150	150	150	0	150	1	98	94	26.39	41.74	145608
E_foliosa_R2	FASTQ	DNA	67639693	10113249159	49	149.5	150	150	150	150	0	150	1	96	91	24.85	41.81	57139
E_formanii_Broadxleaf_1_R1	FASTQ	DNA	62827938	9368673400	49	149.1	150	150	150	150	0	150	1	98	95	27.34	42.34	136409
E_formanii_Broadxleaf_1_R2	FASTQ	DNA	62827938	9368673400	49	149.1	150	150	150	150	0	150	1	96	92	24.84	42.28	51983
E_formanii_Broadxleaf_2_R1	FASTQ	DNA	30984743	4620321572	49	149.1	150	150	150	150	0	150	1	97	92	25.11	40.6	62268
E_formanii_Broadxleaf_2_R2	FASTQ	DNA	30984743	4620321572	49	149.1	150	150	150	150	0	150	1	95	89	23.75	40.58	93976
E_formanii_Broadxleaf_3_R1	FASTQ	DNA	52674713	7853197977	49	149.1	150	150	150	150	0	150	1	98	94	26.98	40.91	96654
E_formanii_Broadxleaf_3_R2	FASTQ	DNA	52674713	7853197977	49	149.1	150	150	150	150	0	150	1	96	91	24.77	41.08	10507
E_formanii_formanii_1_R1	FASTQ	DNA	31111406	4651633005	49	149.5	150	150	150	150	0	150	1	96	90	24.48	40.57	55072
E_formanii_formanii_1_R2	FASTQ	DNA	31111406	4651633005	49	149.5	150	150	150	150	0	150	1	96	90	24.31	40.48	6209
E_formanii_formanii_2_R1	FASTQ	DNA	33609111	4948512702	49	147.2	150	150	150	150	0	150	1	98	95	27.14	43.97	73321
E_formanii_formanii_2_R2	FASTQ	DNA	33609111	4948512702	49	147.2	150	150	150	150	0	150	1	97	94	26.11	43.6	16522
E_formanii_formanii_3_R1	FASTQ	DNA	63048495	9400022200	49	149.1	150	150	150	150	0	150	1	98	95	27.68	40.62	138579
E_formanii_formanii_3_R2	FASTQ	DNA	63048495	9400022200	49	149.1	150	150	150	150	0	150	1	97	92	25.15	40.66	51252
E_forrestiana_R1	FASTQ	DNA	10154431	1491386598	49	146.9	150	150	150	150	0	150	1	96	91	25.71	42.82	144056
E_forrestiana_R2	FASTQ	DNA	10154431	1491386598	49	146.9	150	150	150	150	0	150	1	96	90	24.94	43.07	115357
E_fraseri_fraseri_1_R1	FASTQ	DNA	51056625	7586120556	49	148.6	150	150	150	150	0	150	1	98	94	26.59	41.61	92331
E_fraseri_fraseri_1_R2	FASTQ	DNA	51056625	7586120556	49	148.6	150	150	150	150	0	150	1	96	91	24.59	41.71	9343
E_fraseri_fraseri_2_R1	FASTQ	DNA	83283763	12378408069	49	148.6	150	150	150	150	0	150	1	98	94	26.53	41.28	151361
E_fraseri_fraseri_2_R2	FASTQ	DNA	83283763	12378408069	49	148.6	150	150	150	150	0	150	1	97	92	25.48	41.33	15375
E_fraseri_melanobasis_R1	FASTQ	DNA	84245431	12484043542	49	148.2	150	150	150	150	0	150	1	97	93	25.87	41.28	124808
E_fraseri_melanobasis_R2	FASTQ	DNA	84245431	12484043542	49	148.2	150	150	150	150	0	150	1	96	90	24.13	41.37	95024
E_frenchiana_R1	FASTQ	DNA	86215564	12800707977	49	148.5	150	150	150	150	0	150	1	98	94	26.64	40.73	113884
E_frenchiana_R2	FASTQ	DNA	86215564	12800707977	49	148.5	150	150	150	150	0	150	1	96	92	24.92	40.84	85109
E_froggattii_R1	FASTQ	DNA	32019382	4753297473	49	148.5	150	150	150	150	0	150	1	96	91	25.79	41.8	329306
E_froggattii_R2	FASTQ	DNA	32019382	4753297473	49	148.5	150	150	150	150	0	150	1	96	90	25.06	42.23	55618
E_fruticosa_1_R1	FASTQ	DNA	2504154	363818411	49	145.3	150	150	150	150	0	150	1	90	79	21.82	46.07	16427
E_fruticosa_1_R2	FASTQ	DNA	2504154	363818411	49	145.3	150	150	150	150	0	150	1	87	74	20.6	47.03	6719
E_fruticosa_2_R1	FASTQ	DNA	3240896	473788854	49	146.2	150	150	150	150	0	150	1	91	82	22.22	44.03	21550
E_fruticosa_2_R2	FASTQ	DNA	3240896	473788854	49	146.2	150	150	150	150	0	150	1	90	79	21.47	45.97	17490
E_gamophylla_R1	FASTQ	DNA	66618194	9932718612	49	149.1	150	150	150	150	0	150	1	96	91	24.74	41.4	67353
E_gamophylla_R2	FASTQ	DNA	66618194	9932718612	49	149.1	150	150	150	150	0	150	1	95	88	23.39	41.5	70654
E_gardneri_gardneri_R1	FASTQ	DNA	88167146	13040044779	49	147.9	150	150	150	150	0	150	1	97	94	26.16	42.18	98151
E_gardneri_gardneri_R2	FASTQ	DNA	88167146	13040044779	49	147.9	150	150	150	150	0	150	1	95	90	23.87	42.34	82826
E_gardneri_ravensthorpensis_R1	FASTQ	DNA	193962224	28708722496	49	148	150	150	150	150	0	150	1	96	92	25.04	42.41	158657
E_gardneri_ravensthorpensis_R2	FASTQ	DNA	193962224	28708722496	49	148	150	150	150	150	0	150	1	94	87	22.76	42.48	39120
E_georgei_fulgida_R1	FASTQ	DNA	72369777	10723751002	49	148.2	150	150	150	150	0	150	1	97	94	26.32	41.23	81440
E_georgei_fulgida_R2	FASTQ	DNA	72369777	10723751002	49	148.2	150	150	150	150	0	150	1	96	91	24.46	41.34	68465
E_georgei_georgei_R1	FASTQ	DNA	50815447	7566974260	49	148.9	150	150	150	150	0	150	1	97	93	25.73	42.04	101456
E_georgei_georgei_R2	FASTQ	DNA	50815447	7566974260	49	148.9	150	150	150	150	0	150	1	96	91	24.66	42.09	41253
E_gillenii_1_R1	FASTQ	DNA	60222738	8991627466	49	149.3	150	150	150	150	0	150	1	97	92	25.43	41.99	157395
E_gillenii_1_R2	FASTQ	DNA	60222738	8991627466	49	149.3	150	150	150	150	0	150	1	96	91	24.52	42.07	22376
E_gillenii_2_R1	FASTQ	DNA	200943034	29963184625	49	149.1	150	150	150	150	0	150	1	96	91	24.73	41.6	188502
E_gillenii_2_R2	FASTQ	DNA	200943034	29963184625	49	149.1	150	150	150	150	0	150	1	94	86	22.61	41.84	74005
E_gillii_1_R1	FASTQ	DNA	18536414	2742152203	49	147.9	150	150	150	150	0	150	1	98	94	27.6	40	111465
E_gillii_1_R2	FASTQ	DNA	18536414	2742152203	49	147.9	150	150	150	150	0	150	1	97	94	27.05	40.21	220214
E_gillii_2_R1	FASTQ	DNA	149684575	22252809323	49	148.7	150	150	150	150	0	150	1	96	91	24.66	41.87	139425
E_gillii_2_R2	FASTQ	DNA	149684575	22252809323	49	148.7	150	150	150	150	0	150	1	94	86	22.7	42.07	54623
E_gittinsii_gittinsii_R1	FASTQ	DNA	28338592	4130095422	49	145.7	150	150	150	150	0	150	1	96	90	25.25	44.59	18012
E_gittinsii_gittinsii_R2	FASTQ	DNA	28338592	4130095422	49	145.7	150	150	150	150	0	150	1	94	88	23.94	44.15	11299
E_gittinsii_illucida_R1	FASTQ	DNA	44845536	6696061451	49	149.3	150	150	150	150	0	150	1	97	93	26.16	42.4	97912
E_gittinsii_illucida_R2	FASTQ	DNA	44845536	6696061451	49	149.3	150	150	150	150	0	150	1	97	92	25.39	42.42	40925
E_glaucina_1_R1	FASTQ	DNA	63546280	9483949173	49	149.2	150	150	150	150	0	150	1	97	92	25.58	42.17	167496
E_glaucina_1_R2	FASTQ	DNA	63546280	9483949173	49	149.2	150	150	150	150	0	150	1	96	91	24.72	42.22	23758
E_glaucina_2_R1	FASTQ	DNA	69483974	10365983618	49	149.2	150	150	150	150	0	150	1	97	92	25.41	42.12	182760
E_glaucina_2_R2	FASTQ	DNA	69483974	10365983618	49	149.2	150	150	150	150	0	150	1	96	90	24.3	42.21	26009
