initial_label	genus	subgenus	section	is_included	is_label_swapped	final_label	notes
E_capillosa_1	Eucalyptus	Symphyomyrtus	'Glandulosae' ms	TRUE	FALSE	E_capillosa_1	
E_capillosa_2	Eucalyptus	Symphyomyrtus	'Glandulosae' ms	TRUE	FALSE	E_capillosa_2	
E_capillosa_3	Eucalyptus	Symphyomyrtus	'Glandulosae' ms	TRUE	FALSE	E_capillosa_3	
E_capillosa_4	Eucalyptus	Symphyomyrtus	'Glandulosae' ms	TRUE	FALSE	E_capillosa_4	
E_capitanea	Eucalyptus	Symphyomyrtus	Dumaria	FALSE	FALSE	E_capitanea	Different section
E_captiosa	Eucalyptus	Symphyomyrtus	Dumaria	TRUE	FALSE	E_captiosa	
E_carnei	Eucalyptus	Symphyomyrtus	'Glandulosae' ms	TRUE	FALSE	E_carnei	
E_celastroides_celastroides	Eucalyptus	Symphyomyrtus	Adnataria	TRUE	FALSE	E_celastroides_celastroides	
E_celastroides_virella_1	Eucalyptus	Symphyomyrtus	Adnataria	TRUE	FALSE	E_celastroides_virella_1	
E_celastroides_virella_2	Eucalyptus	Symphyomyrtus	Adnataria	FALSE	TRUE	E_macrandra_2	Different section
E_cerasiformis	Eucalyptus	Symphyomyrtus	'Glandulosae' ms	TRUE	FALSE	E_cerasiformis	
E_cernua	Eucalyptus	Symphyomyrtus	'Glandulosae' ms	TRUE	FALSE	E_cernua	
E_chloroclada_2	Eucalyptus	Symphyomyrtus	Exsertaria	TRUE	FALSE	E_chloroclada_2	
E_chloroclada_3	Eucalyptus	Symphyomyrtus	Exsertaria	TRUE	FALSE	E_chloroclada_3	
E_chlorophylla_1	Eucalyptus	Symphyomyrtus	Adnataria	TRUE	FALSE	E_chlorophylla_1	Did not group together with other samples
E_chlorophylla_2	Eucalyptus	Symphyomyrtus	Adnataria	TRUE	FALSE	E_chlorophylla_2	Did not group together with other samples
E_cladocalyx_crassa	Eucalyptus	Symphyomyrtus	Sejunctae	TRUE	FALSE	E_cladocalyx_crassa	
E_cladocalyx_Ferguson2024	Eucalyptus	Symphyomyrtus	Sejunctae	TRUE	FALSE	E_cladocalyx_Ferguson2024	
E_clelandii	Eucalyptus	Symphyomyrtus	Dumaria	TRUE	FALSE	E_clelandii	
E_cloeziana_Ferguson2024	Eucalyptus	Idiogenes		TRUE	FALSE	E_cloeziana_Ferguson2024	
E_cneorifolia	Eucalyptus	Symphyomyrtus	Bisectae	TRUE	FALSE	E_cneorifolia	
E_codonocarpa_1	Eucalyptus	Eucalyptus	Eucalyptus	TRUE	FALSE	E_codonocarpa_1	
E_codonocarpa_2	Eucalyptus	Eucalyptus	Eucalyptus	TRUE	FALSE	E_codonocarpa_2	
E_comitaexvallis	Eucalyptus	Symphyomyrtus	Dumaria	TRUE	FALSE	E_comitaexvallis	
E_concinna	Eucalyptus	Symphyomyrtus	Dumaria	FALSE	FALSE	E_concinna	Estimated mean coverage <10x
E_confluens	Eucalyptus	Symphyomyrtus	Platysperma	TRUE	FALSE	E_confluens	
E_conglobata_conglobata_1	Eucalyptus	Symphyomyrtus	Dumaria	FALSE	FALSE	E_conglobata_conglobata_1	Estimated mean coverage <10x
E_conglobata_conglobata_2	Eucalyptus	Symphyomyrtus	Dumaria	FALSE	FALSE	E_conglobata_conglobata_2	Different section
E_conglobata_conglobata_3	Eucalyptus	Symphyomyrtus	Dumaria	TRUE	FALSE	E_conglobata_conglobata_3	
E_conglobata_conglobata_4	Eucalyptus	Symphyomyrtus	Dumaria	FALSE	FALSE	E_conglobata_conglobata_4	Different section
E_conglobata_conglobata_5	Eucalyptus	Symphyomyrtus	Dumaria	TRUE	FALSE	E_conglobata_conglobata_5	
E_conica	Eucalyptus	Symphyomyrtus	Adnataria	TRUE	FALSE	E_conica	
E_conica_x_E_microcarpa	Eucalyptus-H	Symphyomyrtus-H	Adnataria-H	FALSE	FALSE	E_conica_x_E_microcarpa	Hybrid
E_conveniens	Eucalyptus	Eudesmia	Limbatae	FALSE	FALSE	E_conveniens	Different subgenus
E_coolabah	Eucalyptus	Symphyomyrtus	Adnataria	TRUE	FALSE	E_coolabah	
E_coolabah_Ferguson2024	Eucalyptus	Symphyomyrtus	Adnataria	TRUE	FALSE	E_coolabah_Ferguson2024	
E_cooperiana_1	Eucalyptus	Symphyomyrtus	Bisectae	TRUE	FALSE	E_cooperiana_1	
E_cooperiana_2	Eucalyptus	Symphyomyrtus	Bisectae	TRUE	FALSE	E_cooperiana_2	
E_cooperiana_3	Eucalyptus	Symphyomyrtus	Bisectae	TRUE	FALSE	E_cooperiana_3	
E_cordata_quadrangulosa_1	Eucalyptus	Symphyomyrtus	Maidenaria	TRUE	FALSE	E_cordata_quadrangulosa_1	
E_cordata_quadrangulosa_2	Eucalyptus	Symphyomyrtus	Maidenaria	TRUE	FALSE	E_cordata_quadrangulosa_2	
E_cornuta	Eucalyptus	Symphyomyrtus	'Glandulosae' ms	TRUE	FALSE	E_cornuta	
E_corrugata	Eucalyptus	Symphyomyrtus	Dumaria	TRUE	FALSE	E_corrugata	
E_corynodes	Eucalyptus	Symphyomyrtus	Adnataria	TRUE	FALSE	E_corynodes	
E_cosmophylla_1	Eucalyptus	Symphyomyrtus	Incognitae	TRUE	FALSE	E_cosmophylla_1	
E_cosmophylla_2	Eucalyptus	Symphyomyrtus	Incognitae	TRUE	FALSE	E_cosmophylla_2	
E_cretata	Eucalyptus	Symphyomyrtus	Dumaria	TRUE	FALSE	E_cretata	
E_crucis_lanceolata_1	Eucalyptus	Symphyomyrtus	Bisectae	TRUE	FALSE	E_crucis_lanceolata_1	
E_crucis_lanceolata_2	Eucalyptus	Symphyomyrtus	Bisectae	TRUE	FALSE	E_crucis_lanceolata_2	
E_crucis_lanceolata_3	Eucalyptus	Symphyomyrtus	Bisectae	TRUE	FALSE	E_crucis_lanceolata_3	
E_crucis_lanceolata_4	Eucalyptus	Symphyomyrtus	Bisectae	TRUE	FALSE	E_crucis_lanceolata_4	
E_crucis_praecipua	Eucalyptus	Symphyomyrtus	Bisectae	TRUE	FALSE	E_crucis_praecipua	
E_cullenii	Eucalyptus	Symphyomyrtus	Adnataria	TRUE	FALSE	E_cullenii	
E_cupularis	Eucalyptus	Symphyomyrtus	Exsertaria	TRUE	FALSE	E_cupularis	
E_curtisii_Ferguson2024	Eucalyptus	Acerosae		TRUE	FALSE	E_curtisii_Ferguson2024	
E_cyclostoma	Eucalyptus	Symphyomyrtus	Dumaria	TRUE	FALSE	E_cyclostoma	
E_cylindriflora	Eucalyptus	Symphyomyrtus	'Glandulosae' ms	TRUE	FALSE	E_cylindriflora	
E_cylindrocarpa_1	Eucalyptus	Symphyomyrtus	Dumaria	TRUE	FALSE	E_cylindrocarpa_1	
E_cylindrocarpa_2	Eucalyptus	Symphyomyrtus	Dumaria	TRUE	FALSE	E_cylindrocarpa_2	
E_dalrympleana_heptantha_1	Eucalyptus	Symphyomyrtus	Maidenaria	TRUE	FALSE	E_dalrympleana_heptantha_1	
E_dalrympleana_heptantha_2	Eucalyptus	Symphyomyrtus	Maidenaria	TRUE	FALSE	E_dalrympleana_heptantha_2	
E_dalrympleana_Tasmania_1	Eucalyptus	Symphyomyrtus	Maidenaria	TRUE	FALSE	E_dalrympleana_Tasmania_1	
E_dalrympleana_Tasmania_2	Eucalyptus	Symphyomyrtus	Maidenaria	TRUE	FALSE	E_dalrympleana_Tasmania_2	
E_dawsonii	Eucalyptus	Symphyomyrtus	Adnataria	TRUE	FALSE	E_dawsonii	
E_dawsonii_Ferguson2024	Eucalyptus	Symphyomyrtus	Adnataria	TRUE	FALSE	E_dawsonii_Ferguson2024	
E_deanei	Eucalyptus	Symphyomyrtus	Maidenaria	TRUE	FALSE	E_deanei	
E_decipiens_1	Eucalyptus	Symphyomyrtus	Bisectae	TRUE	FALSE	E_decipiens_1	
E_decipiens_2	Eucalyptus	Symphyomyrtus	Bisectae	FALSE	FALSE	E_decipiens_2	Different section
