initial_label	genus	subgenus	section	is_included	is_label_swapped	final_label	notes
E_glaucina_1	Eucalyptus	Symphyomyrtus	Exsertaria	TRUE	FALSE	E_glaucina_1	
E_glaucina_2	Eucalyptus	Symphyomyrtus	Exsertaria	TRUE	FALSE	E_glaucina_2	
E_globulus_Ferguson2024	Eucalyptus	Symphyomyrtus	Maidenaria	TRUE	FALSE	E_globulus_Ferguson2024	
E_glomerosa_1	Eucalyptus	Symphyomyrtus	Bisectae	TRUE	FALSE	E_glomerosa_1	
E_glomerosa_2	Eucalyptus	Symphyomyrtus	Bisectae	TRUE	FALSE	E_glomerosa_2	
E_gomphocephala	Eucalyptus	Symphyomyrtus	Bolites	TRUE	FALSE	E_gomphocephala	
E_gomphocephala_x_E_zopherophloia_1	Eucalyptus	Symphyomyrtus	Bolites	FALSE	FALSE	E_gomphocephala_x_E_zopherophloia_1	Hybrid
E_gomphocephala_x_E_zopherophloia_2	Eucalyptus	Symphyomyrtus	Bolites	FALSE	FALSE	E_gomphocephala_x_E_zopherophloia_2	Hybrid
E_goniantha_goniantha	Eucalyptus	Symphyomyrtus	Bisectae	TRUE	FALSE	E_goniantha_goniantha	
E_goniocalyx_viridissima	Eucalyptus	Symphyomyrtus	Maidenaria	TRUE	FALSE	E_goniocalyx_viridissima	
E_goniocarpa	Eucalyptus	Symphyomyrtus	'Glandulosae' ms	TRUE	FALSE	E_goniocarpa	
E_gracilis	Eucalyptus	Symphyomyrtus	Adnataria	TRUE	FALSE	E_gracilis	
